ts	phase	decision	why	evidence	result
2026-08-21T13:24:02Z	frame	set acceptance to one clean Kubernetes run that kills seven isolation mutants and survives restart	the ticket requires production behavior rather than a compile-only proxy	docs/adr/0018-v1-deployment-tenancy-availability-and-self-hosting.md	implemented
2026-08-21T13:24:02Z	design	chose one Helm chart with a shared-saas profile, two signed application images, and an external black-box runner	this keeps the deployment unit identical to what the test installs	deploy/	implemented
2026-08-21T13:24:02Z	design	kept one tenant-bound harness process per OIDC principal and gave each Restate service a distinct name	a process never has to select trusted tenant from request data	packages/harness/src/server.ts	implemented
2026-08-21T13:24:02Z	design	serialized registry publication, Helm install, attacks, mutants, and restart checks inside one cluster lifecycle	image digests and cluster state are shared invariants	e2e/shared-tenancy/run.sh	implemented
2026-08-21T13:58:59Z	implementation	modeled attacks and mutants as typed evidence rows with redacted tenant references	the evidence manifest must prove each boundary without exposing tenant identifiers	e2e/shared-tenancy.ts	implemented
2026-08-21T13:58:59Z	implementation	used FORCE RLS as defense in depth while retaining explicit tenant predicates	the runtime must fail closed both when a predicate is omitted and when session context is absent	crates/zoen-adapters/migrations/	implemented
2026-08-21T13:58:59Z	implementation	restarts application and orchestration workloads before rebuilding DataFusion projections and Brain indexes	the proof must cover process replacement and derived-state rebuilds	e2e/shared-tenancy.ts	implemented
2026-08-21T15:18:09Z	verification	split deployment readiness at definition activation	the harness correctly stayed unready before tenant definitions existed, so Helm could not own both infrastructure readiness and tenant activation	e2e/shared-tenancy/run.sh	product miss fixed after ffc8858
2026-08-21T15:29:46Z	verification	derived the Helm policy digest from the exact canonical JSON bytes that the runner publishes	the final newline in the tracked fixture must not create a second definition identity	e2e/shared-tenancy/run.sh	product miss fixed after 50b9615
2026-08-21T15:47:45Z	verification	replaced startup bearer snapshots with per-call OIDC service tokens	Restate retries and long-running workers must survive the five-minute service-token rotation	packages/effect-worker/src/index.ts	product miss fixed after 6e9bdbd
2026-08-21T16:11:57Z	verification	deduplicated effect dispatch evidence by tenant	definitely-not-sent attempts create multiple durable dispatch revisions, so row cardinality does not represent tenant cardinality	e2e/shared-tenancy.ts	product miss fixed after 64af4a3
2026-08-21T16:25:41Z	verification	baked the exact Company Brain embedding model into the signed Node image	the Kubernetes production path must load the local model without external network access	deploy/images/Dockerfile.node	product miss fixed after 042271b
2026-08-21T16:28:44Z	verification	copied the pinned embedding revision from the library cache into an explicit local model directory	transformers checks tokenizer metadata on the default branch even when revision files exist in its cache	deploy/scripts/preload-embedding-model.mjs	focused image test fixed after eb1e9b7
2026-08-21T16:45:56Z	verification	moved Restate durable state from an ephemeral Deployment volume to a StatefulSet claim	the restart proof replaced the Restate pod and exposed that cluster metadata could not survive an emptyDir	deploy/helm/zoen/templates/restate.yaml	product miss fixed after e51956f
2026-08-21T16:47:59Z	verification	replaced the Restate TCP readiness probe with its admin health endpoint	the process accepted ingress TCP connections while cluster initialization was failing	deploy/helm/zoen/templates/restate.yaml	product miss fixed after e51956f
2026-08-21T16:50:12Z	verification	bounded each Restate deployment registration probe	a half-initialized admin socket accepted the request without returning a response and bypassed the outer retry budget	e2e/shared-tenancy.ts	product miss fixed after e51956f
2026-08-21T16:59:32Z	verification	published the Restate pod address before application readiness	single-node auto-provisioning must reach the advertised Service address before the admin health endpoint becomes ready	deploy/helm/zoen/templates/restate.yaml	product miss fixed after 50bf04f
2026-08-21T17:41:05Z	verification	replaced concurrent DROP and CREATE index rebuilds with ordered PostgreSQL REINDEX operations	two tenant harnesses share the same Company Brain indexes and must let PostgreSQL serialize maintenance without an absent-index window	packages/harness/src/knowledge.ts	required CI miss fixed after aa58b4f
2026-08-22T13:30:00Z	verification	wait for both harness deployments after zoend, stretch progressDeadlineSeconds, and recycle stale ContainerCreating	CI SHA 9e3030e left harness-tenant-a Running-not-Ready while kubectl rollout status failed immediately on the default 600s progress deadline	e2e/lib/kubernetes.sh,e2e/shared-tenancy/run.sh	fix pending verification on a new SHA
