id	date	status	decision	rationale	evidence
RAT-01	2026-09-02	ratified	WorldRelease content excludes publication metadata; ReleaseDigest is derived from domain-tagged RFC 8785 JCS over World, parent, and exactly four catalog digests; fields stay private	Content identity must not change because an owner publishes the same candidate at another time	docs/product/zoen-governed-data-extension-spec.md#81-release-content-and-identity
RAT-02	2026-09-02	ratified	DatasetVersion content excludes acceptance metadata	The same immutable manifest can be evaluated and accepted without changing its content digest	docs/product/zoen-governed-data-extension-spec.md#132-observation-plane
RAT-03	2026-09-02	ratified	KnowledgeBasisDefinition produces a durable ResolutionDecision retrievable by digest; the decision is neither authority nor CommitReceipt	A reproduced read needs the exact selection record, while only a governed Commit can change authority	docs/product/zoen-governed-data-extension-spec.md#122-resolutiondecision
RAT-04	2026-09-02	ratified	One World owner ceremony creates the World, owner Membership, candidate, publication, and active pointer in one transaction; any prior release, active pointer, Membership, or completed ceremony refuses a repeat; commit removes the capability; no superuser or later bypass exists	A World needs one initial policy root, while every later release must use the normal governed path	docs/product/zoen-governed-data-extension-spec.md#82-bootstrap-and-activation
RAT-05	2026-09-02	ratified	Authorization restricts discovery and scan planning before storage work; denials do not disclose existence, counts, cursors, lineage, citations, or timing classes	Filtering after a scan leaks restricted data through work and result shape	docs/product/zoen-governed-data-extension-spec.md#142-evaluation-scope
RAT-06	2026-09-02	ratified	A typed link requires explicit TypeAssignment evidence for both endpoints over the link's valid interval	A relation occurrence cannot prove that either endpoint has the declared type	docs/product/zoen-governed-data-extension-spec.md#103-typed-links
RAT-07	2026-09-02	ratified	Institutional standards are informative and OpenBB research is clean-room input; W0-05 authorizes no OpenBB AGPL code reuse, and any later reuse requires a separate written license disposition	The sources inform design but do not grant implementation rights or prescribe Zoen authority semantics	docs/product/zoen-governed-data-extension-spec.md#193-provider-integration
LIC-01	2026-09-02	no-reuse	W0-05 authorizes no OpenBB AGPL code reuse; a separate written license disposition that names the code, license, approval, and implementation boundary is required before any reuse	Clean-room design input and permission to copy licensed implementation are separate decisions	docs/product/zoen-governed-data-extension-spec.md#193-provider-integration
OPS-01	2026-09-02	program	PR 616 remains closed and its journey-runtime branch is not a canonical unit	The ratification program has 52 product units without the abandoned runtime experiment	orchestrate/zoen-final/frontier.json
OPS-02	2026-09-02	program	Repository GitHub work uses the gh CLI; no PR Cockpit, Graphite, Herdr, Cursor SDK, Portless, or deploy step belongs to W0-05	The PR Cockpit plugin uninstall returned not_installed and the repository contains no PR Cockpit skill or app wiring, so there is nothing to delete	orchestrate/zoen-final/preferences.md
OPS-03	2026-09-02	program	Land W1-03, then W1-04, then W2-01	Shared credential and authority files require semantic review; an automatic text merge cannot prove that the combined invariants survive	orchestrate/zoen-final/program.json
