ts	phase	decision	why	evidence	result
2026-08-19T15:27:07Z	frame	started from the pinned origin/main commit on an exclusive branch	the ticket requires an isolated writer and an exact base	git branch cursor/evolution-compatible-313a at f328247bf523356b0dbd6a36f375572e0ee42849	branch ready
2026-08-19T15:27:07Z	architecture	kept evolution in the existing core, engine, adapter, and transport boundaries	the existing deep ports already own semantic types, lifecycle rules, PostgreSQL authority, and RPC conversion	docs/adr/0014-v1-system-shape-and-module-topology.md	no architecture deviation
2026-08-19T15:27:07Z	architecture	chose a durable active pointer that commits through authority_commits	activation needs atomic ordering and causal evidence but must not create a second commit ledger	docs/adr/0006-operation-identity-durable-commit.md, docs/adr/0008-immutable-versioned-definitions.md	design selected
2026-08-19T15:27:07Z	verification	planned one production E2E plus shared-path regression scenarios	the acceptance path requires real PostgreSQL 18, Keycloak OIDC, Cedar, restarts, and semantic mutants	just e2e evolution-compatible; just e2e definition-publication; just e2e governed-action; just e2e explain	plan selected
2026-08-19T16:17:07Z	verification	separated activation authority from shared Action principals	a delegation claim is a narrowing chain, so a second independent activation grant invalidated the trusted context	just e2e governed-action at 54d3c6a5da5c0547f9037e8c38dcd414d0f00e9d	passed with 31 assertions
2026-08-19T16:18:12Z	verification	ran the compatible evolution scenario from a clean state	the real path must prove publication, planning, governed activation, durable restart recovery, historical pinning, tenant isolation, and mutants	just e2e evolution-compatible at 54d3c6a5da5c0547f9037e8c38dcd414d0f00e9d	passed with 28 assertions and 5 mutants killed
2026-08-19T16:27:37Z	verification	ran every shared E2E scenario changed by active revision enforcement	explicit activation changed shared Action fixture setup	just e2e definition-publication; just e2e governed-action; just e2e explain; just e2e durable-commit; just e2e effects	all passed
2026-08-19T16:28:00Z	architecture	accepted no architecture deviation	the implementation extends the existing authority ledger, deep ports, PostgreSQL adapter, and DefinitionService without a second ledger or runtime resolver	git diff origin/main...HEAD	no deviation
2026-08-19T17:07:15Z	architecture	kept Candidate A and added typed impact applicability	the canonical definition cannot observe package, policy, or Wasm references, while the impact matrix still needs to report those areas	crates/zoen-core/src/lib.rs; crates/zoen-engine/src/evolution.rs	package and policy or Wasm cells report NotApplicable
2026-08-19T17:10:30Z	verification	verified additive classification and the extended protocol	the focused classifier tests exercise Added Action with Added Relation, and the transport compiles against generated code	cargo test -p zoen-engine evolution::tests --locked; cargo check -p zoend --locked; npm run check; npm run buf:lint; npm run buf:breaking	all passed
2026-08-19T17:11:02Z	idempotency	moved the active revision check into proposal and evidence transactions	exact retries must replay after activation while new work must serialize against the active pointer	crates/zoen-adapters/src/action_store.rs; crates/zoen-adapters/src/lib.rs	exact retries precede the active revision lock
