ts	phase	decision	why	evidence	result
2026-08-21T12:00:00Z	frame	keep one signed Helm chart and add HA as a topology overlay on dedicated	the ticket forbids a fourth commercial profile and a second chart	deploy/helm/zoen/overlays/reliability.yaml	implementing
2026-08-21T12:00:00Z	design	classify Postgres effect and definition tables as authority and Restate as rebuildable orchestration	restore cannot treat Restate or projections as unrebuildable authority	deploy/helm/zoen/state-classification.yaml	implementing
2026-08-21T12:00:00Z	design	serve GET /ready only after migrate plus integrity and drain on SIGTERM	TCP liveness must not count as Ready and recovery must not accept traffic first	apps/zoend/src/main.rs,deploy/helm/zoen/templates/zoend.yaml	implementing
2026-08-21T12:00:00Z	design	backup with wal-g to MinIO, mirror to the host, delete the source kind cluster, restore into a new cluster	same-cluster restore is a forbidden shortcut	e2e/reliability/run.sh,deploy/scripts/postgres-restore.sh	implementing
2026-08-21T12:00:00Z	design	measure RPO as cutAt minus newest restored canary and RTO as healthyAt minus cutAt	vendor marketing numbers cannot close the drill	e2e/reliability/run.sh	implementing
2026-08-21T12:00:00Z	design	register four official commands on unique 323xx-326xx ports and keep them off serial just verify	four kind clusters must not serialize the default release gate	e2e/run.sh,justfile,.github/workflows/verify.yml	implementing
2026-08-21T20:40:00Z	verification	helm template dedicated+overlay rendered postgres+postgres-replica and Restate replicas=3; dedicated without overlay stayed 1+1	sequence step 1 is a chart proof, not a kind cluster	e2e/reliability/verify-topology.mjs	passed
2026-08-21T20:40:00Z	verification	zoend unit tests parse the classification file and reject projection-as-authority	GET /ready must share that file with backup	apps/zoend/src/integrity.rs	passed
2026-08-21T20:40:00Z	verification	workspace clippy -D warnings, rustfmt, unique e2e ports, and generated Helm README check	product wiring must be green before the official kind drills	cargo clippy,cargo fmt,e2e/assert-unique-ports.sh,deployment-docs:check	passed
2026-08-21T20:40:00Z	official	kind drills remain the merge gate on one SHA	this session is macOS; cluster tools download linux-amd64 like V1-20	just e2e ha-chaos,just e2e backup-restore,just e2e rolling-upgrade,just release-drill rpo-rto	not run locally
