unit_id	dependency_id
W0-04	W0-01
W0-04	W0-02
W0-04	W0-03
W0-05	W0-04
W1-01	W0-04
W1-02	W1-01
W1-03	W1-01
W1-04	W1-01
W1-04	W1-03
W1-05	W1-01
W1-06	W1-02
W1-06	W1-03
W1-06	W1-04
W1-07	W1-02
W1-07	W1-03
W1-07	W1-04
W1-07	W1-06
W2-01	W0-05
W2-01	W1-01
W2-01	W1-03
W2-01	W1-04
W2-02	W2-01
W2-03	W2-02
W2-04	W2-03
W2-05	W2-04
W2-06	W2-04
W2-07	W2-04
W2-08	W2-04
W2-09	W2-08
W3-01	W2-04
W3-02	W3-01
W3-03	W3-01
W3-03	W3-02
W3-04	W3-02
W3-04	W3-03
W3-05	W3-03
W3-05	W3-04
W3-06	W2-05
W3-06	W3-03
W3-06	W3-05
W4-01	W2-04
W4-01	W3-03
W4-02	W2-04
W4-02	W3-01
W4-03	W2-05
W4-03	W3-03
W4-04	W2-04
W4-04	W3-03
W4-05	W1-02
W4-05	W4-01
W4-05	W4-02
W4-05	W4-03
W4-05	W4-04
W4-06	W2-06
W4-06	W2-09
W4-06	W4-01
W4-07	W1-02
W4-07	W2-02
W4-07	W2-08
W4-07	W4-01
W4-08	W2-06
W4-08	W3-03
W4-08	W4-01
W4-08	W4-06
W4-08	W4-07
W5-01	W3-04
W5-01	W4-05
W5-02	W2-05
W5-02	W3-06
W5-02	W4-03
W5-03	W1-05
W5-03	W3-02
W5-03	W3-03
W5-03	W3-05
W5-04	W3-02
W5-04	W3-03
W5-04	W3-05
W5-05	W5-01
W5-05	W5-02
W5-05	W5-03
W5-05	W5-04
W6-01	W2-04
W6-01	W2-05
W6-01	W4-03
W6-02	W1-03
W6-02	W4-04
W6-02	W6-01
W6-03	W5-03
W6-03	W5-04
W6-03	W6-02
W6-04	W5-05
W6-04	W6-03
W7-01	W2-05
W7-01	W4-03
W7-01	W4-05
W7-02	W7-01
W7-03	W2-07
W7-03	W4-01
W7-03	W7-02
W7-04	W4-06
W7-04	W4-07
W7-04	W4-08
W7-04	W7-02
W8-01	W1-07
W8-01	W4-05
W8-01	W6-04
W8-01	W7-03
W8-02	W8-01
W8-02	W8-04
W8-03	W8-02
W8-04	W7-04
W8-04	W8-01
