ts	phase	decision	why	evidence	result
2026-08-21T06:57:18Z	frame	started the exclusive branch from the pinned origin/main commit	the ticket requires one writer and an exact base	git branch cursor/domain-manufacturing-accounting-313a at 86f42a931b1c553c8b99a24a1824773ca0661755	branch ready
2026-08-21T06:57:18Z	grounding	kept manufacturing and accounting behavior in TypeScript definitions and Cedar	the ADRs forbid domain dispatch in the generic Rust runtime	docs/adr/0001-executable-ontology-and-generic-kernel.md; docs/adr/0020-v1-domain-libraries-and-brazil-fiscal-boundary.md	no kernel change planned
2026-08-21T06:57:18Z	architecture	selected append-only work occurrence, genealogy, posting, settlement, reversal, and correction relations	the ticket requires plan versus occurrence and original records to survive later consequences	packages/inventory/src/inventory.zoen.ts; packages/procurement/src/procurement.zoen.ts	data shape fixed
2026-08-21T06:57:18Z	architecture	represented cross-package product and inventory entity references as named relation values	the current canonical definition validator only accepts local Type targets, and existing domain packages use relation values for cross-package identity	packages/ontology/src/compiler.ts:506; packages/inventory/src/inventory.zoen.ts:29	no compiler or kernel expansion
2026-08-21T06:57:18Z	verification	selected one production scenario plus focused preflight gates	the real Action, effect, restart, DataFusion, explanation, and tenant paths are the acceptance proof	just e2e domain-manufacturing-accounting	verification plan fixed
2026-08-21T07:08:13Z	implementation	added both definition packages and one isolated production scenario	the package definitions model append-only domain history and the scenario exercises the existing generic runtime	packages/manufacturing; packages/accounting-foundation; e2e/domain-manufacturing-accounting.ts	implementation complete before testing
2026-08-21T07:08:13Z	review	audited the diff for generated-code slop and comments	the new code has no narration comments, suppressions, casts, TODOs, defensive wrappers, or domain identifiers in generic Rust	git diff --check; scoped ripgrep review	zero comments removed
2026-08-21T07:11:40Z	preflight	routed scenario evidence through the base domain writer	the inventory wrapper intentionally removes sourceNamespace, so the new scenario must call the base boundary that accepts it	npm run check	fixed the only TypeScript error
2026-08-21T07:25:40Z	official	the first official run on 72b1145 stopped at the first manufacturing start proposal	the precondition added quantity availability to an integer BOM revision, which exact expression evaluation rejects	just e2e domain-manufacturing-accounting	product miss recorded; SHA will not be rerun
2026-08-21T07:25:40Z	correction	added quantity-typed BOM basis relations while preserving integer revision history	the parked boolean conjunction cannot combine quantity and integer state dependencies, so Cedar binds both revision inputs and the Action StateBasis tracks the quantity-typed revision token	packages/manufacturing/src/manufacturing.zoen.ts; e2e/domain-manufacturing-accounting/execution.cedar	runtime operands now share one exact type
2026-08-21T07:30:56Z	official	the official run on 8bc3d76 passed production and accounting through the tenant isolation checkpoint	the compound isolation assertion hid which independent guarantee failed	just e2e domain-manufacturing-accounting	product miss recorded; SHA will not be rerun
2026-08-21T07:30:56Z	correction	split tenant isolation into book meaning, cross-tenant denial, exact claim remainder, settlement authority, and trusted identity assertions	the next failure must identify the violated contract without weakening any condition	e2e/domain-manufacturing-accounting.ts	isolation evidence is independently falsifiable
